77A 	-2000	0
77B 	-1840	160
77C 	-1635	365
77D 	-2000	155
77E 	-1845	0
77F 	-1943	310
77G 	-1635	0
77H 	-1635	155
78A 	-1500	0
78B 	-1340	160
78C 	-1135	365
78D 	-1500	155
78E 	-1345	0
78F 	-1443	366
78G 	-1135	0
78H 	-1135	155
79A 	-1000	0
79B 	-840	160
79C 	-635	365
79D 	-1000	155
79E 	-845	0
79F 	-845	366
79G 	-635	0
79H 	-635	155
80A 	-500	0
80B 	-340	160
80C 	-135	365
80D 	-500	155
80E 	-345	0
80F 	-290	366
80G 	-135	0
80H 	-135	155
81A 	-5000	500
81B 	-4840	660
81C 	-4635	865
81D 	-5000	655
81E 	-4845	500
81F 	-4790	823
81G 	-4635	500
81H 	-4635	655
82A 	-4500	500
82B 	-4340	660
82C 	-4135	865
82D 	-4500	655
82E 	-4345	500
82F 	-4500	810
82G 	-4345	866
82H 	-4135	710
83A 	-4000	500
83B 	-3840	660
83C 	-3635	865
83D 	-4000	655
83E 	-3845	500
83F 	-4000	866
83G 	-3845	866
83H 	-3635	710
84A 	-3500	500
84B 	-3340	660
84C 	-3135	865
84D 	-3500	655
84E 	-3345	500
84F 	-3500	810
84G 	-3290	866
84H 	-3135	710
85A 	-3000	500
85B 	-2840	660
85C 	-2635	865
85D 	-3000	655
85E 	-2845	500
85F 	-3000	866
85G 	-2790	866
85H 	-2635	710
86A 	-2500	500
86B 	-2340	660
86C 	-2135	865
86D 	-2500	655
86E 	-2345	500
86F 	-2443	810
86G 	-2290	866
86H 	-2135	710
87A 	-2000	500
87B 	-1840	660
87C 	-1635	865
87D 	-2000	655
87E 	-1845	500
87F 	-1943	866
87G 	-1790	866
87H 	-1635	710
88A 	-1500	500
88B 	-1340	660
88C 	-1135	865
88D 	-1500	655
88E 	-1345	500
88F 	-1500	866
88G 	-1290	823
88H 	-1135	710
89A 	-1000	500
89B 	-840	660
89C 	-635	865
89D 	-1000	655
89E 	-845	500
89F 	-943	866
89G 	-790	823
89H 	-635	710
90A 	-500	500
90B 	-340	660
90C 	-135	865
90D 	-500	655
90E 	-345	500
90F 	-500	810
90G 	-192	500
90H 	-135	710
91A 	-5000	1000
91B 	-4840	1160
91C 	-4635	1365
91D 	-5000	1155
91E 	-4845	1000
91F 	-5000	1366
91G 	-4692	1000
91H 	-4635	1210
92A 	-4500	1000
92B 	-4340	1160
92C 	-4135	1365
92D 	-4500	1155
92E 	-4345	1000
92F 	-4443	1310
92G 	-4192	1000
92H 	-4135	1210
93A 	-4000	1000
93B 	-3840	1160
93C 	-3635	1365
93D 	-4000	1155
93E 	-3845	1000
93F 	-3943	1366
93G 	-3692	1000
93H 	-3635	1210
94A 	-3500	1000
94B 	-3340	1160
94C 	-3135	1365
94D 	-3500	1155
94E 	-3345	1000
94F 	-3345	1366
94G 	-3192	1000
94H 	-3135	1210
95A 	-3000	1000
95B 	-2840	1160
95C 	-2635	1365
95D 	-3000	1155
95E 	-2845	1000
95F 	-2790	1366
95G 	-2692	1000
95H 	-2635	1210
96A 	-2500	1000
96B 	-2340	1160
96C 	-2135	1365
96D 	-2500	1155
96E 	-2345	1000
96F 	-2500	1310
96G 	-2135	1000
96H 	-2135	1210
97A 	-2000	1000
97B 	-1840	1160
97C 	-1635	1365
97D 	-2000	1155
97E 	-1845	1000
97F 	-2000	1366
97G 	-1635	1000
97H 	-1635	1210
98A 	-1500	1000
98B 	-1340	1160
98C 	-1135	1365
98D 	-1500	1155
98E 	-1345	1000
98F 	-1443	1310
98G 	-1135	1000
98H 	-1135	1210
99A 	-1000	1000
99B 	-840	1160
99C 	-635	1365
99D 	-1000	1155
99E 	-845	1000
99F 	-943	1366
99G 	-635	1000
99H 	-635	1210
100A 	-500	1000
100B 	-340	1160
100C 	-135	1365
100D 	-500	1155
100E 	-345	1000
100F 	-345	1366
100G 	-135	1000
100H 	-135	1210
101A 	-5000	1500
101B 	-4840	1660
101C 	-4635	1865
101D 	-5000	1655
101E 	-4845	1500
101F 	-4790	1866
101G 	-4635	1500
101H 	-4635	1710
102A 	-4500	1500
102B 	-4340	1660
102C 	-4135	1865
102D 	-4500	1655
102E 	-4345	1500
102F 	-4290	1823
102G 	-4135	1500
102H 	-4135	1710
103A 	-4000	1500
103B 	-3840	1660
103C 	-3635	1865
103D 	-4000	1655
103E 	-3845	1500
103F 	-4000	1866
103G 	-3692	1556
103H 	-3635	1710
104A 	-3500	1500
104B 	-3340	1660
104C 	-3135	1865
104D 	-3500	1655
104E 	-3345	1500
104F 	-3443	1866
104G 	-3192	1556
104H 	-3135	1710
105A 	-3000	1500
105B 	-2840	1660
105C 	-2635	1865
105D 	-3000	1655
105E 	-2845	1500
105F 	-2845	1866
105G 	-2692	1556
105H 	-2635	1710
106A 	-2500	1500
106B 	-2340	1660
106C 	-2135	1865
106D 	-2500	1655
106E 	-2345	1500
106F 	-2290	1866
106G 	-2192	1556
106H 	-2135	1710
107A 	-2000	1500
107B 	-1840	1660
107C 	-1635	1865
107D 	-2000	1655
107E 	-1845	1500
107F 	-2000	1810
107G 	-1635	1556
107H 	-1635	1710
108A 	-1500	1500
108B 	-1340	1660
108C 	-1135	1865
108D 	-1500	1655
108E 	-1345	1500
108F 	-1500	1866
108G 	-1135	1556
108H 	-1135	1710
109A 	-1000	1500
109B 	-840	1660
109C 	-635	1865
109D 	-1000	1655
109E 	-845	1500
109F 	-943	1810
109G 	-635	1556
109H 	-635	1710
110A 	-500	1500
110B 	-340	1660
110C 	-135	1865
110D 	-500	1655
110E 	-345	1500
110F 	-443	1866
110G 	-135	1556
110H 	-135	1710
111A 	-5000	2000
111B 	-4840	2160
111C 	-4635	2365
111D 	-5000	2155
111E 	-4845	2000
111F 	-4845	2366
111G 	-4635	2056
111H 	-4635	2210
112A 	-4500	2000
112B 	-4340	2160
112C 	-4135	2365
112D 	-4500	2155
112E 	-4345	2000
112F 	-4290	2366
112G 	-4135	2056
112H 	-4135	2210
113A 	-4000	2000
113B 	-3840	2160
113C 	-3635	2365
113D 	-4000	2155
113E 	-3845	2000
113F 	-4000	2366
113G 	-3845	2366
113H 	-3680	2210
114A 	-3500	2000
114B 	-3340	2160
114C 	-3135	2365
114D 	-3500	2155
114E 	-3345	2000
114F 	-3500	2366
114G 	-3290	2366
114H 	-3180	2210
115A 	-3000	2000
115B 	-2840	2160
115C 	-2635	2365
115D 	-3000	2155
115E 	-2845	2000
115F 	-3000	2366
115G 	-2692	2000
115H 	-2680	2210
116A 	-2500	2000
116B 	-2340	2160
116C 	-2135	2365
116D 	-2500	2155
116E 	-2345	2000
116F 	-2443	2366
116G 	-2192	2000
116H 	-2180	2210
117A 	-2000	2000
117B 	-1840	2160
117C 	-1635	2365
117D 	-2000	2155
117E 	-1845	2000
117F 	-1845	2366
117G 	-1692	2000
117H 	-1680	2210
