286D	951.159	-571.68	3123.8
286D	986.345	-624.816	3325.54
286D	1035.39	-698.719	3605.73
286D	1010.22	-660.559	3461.58
146B	-270.759	-721.513	3197.01
146B	-264.659	-713.333	3170.85
146B	-258.249	-704.617	3142.52
146B	-258.326	-704.693	3142.78
34F	-523.013	610.307	3140.97
34F	-588.486	637.516	3349.63
34F	-676.622	674.226	3631.05
34F	-635.031	656.792	3497.92
34F	-517.172	608.008	3122.86
34F	-592.359	639.352	3362.71
34F	-618.625	650.108	3446.13
34F	-506.779	603.746	3089.65
107A	-160.248	-173.886	3199.45
107A	-249.372	-233.595	3668.92
107A	-204.892	-203.792	3433.71
107A	-199.024	-199.769	3403.4
107A	-154.453	-169.861	3169.31
107A	-227.059	-218.587	3551.87
107A	-212.958	-209.238	3477.46
71C	-807.926	114.478	3110.57
71C	-885.903	107.871	3299.95
71C	-1023.01	96.4138	3632.93
71C	-803.148	114.909	3099.27
71C	-899.37	106.781	3332.86
71C	-806.171	114.628	3106.62
71C	-960.102	101.619	3480.39
71C	-944.127	103.17	3441.62
16A	-365.779	1022.5	3519.35
16A	-284.72	939.788	3170.43
16A	-392.87	1050.43	3636.4
16A	-337.13	993.308	3396.18
16A	-278.662	933.586	3144.69
16A	-335.602	991.445	3388.97
16A	-264.105	918.933	3082.67
16A	-350.878	1007.35	3455.32
81H	-810.108	44.7383	3111.8
81H	-1026.14	14.3472	3635.83
81H	-888.574	33.7152	3302.43
81H	-805.323	45.4381	3100.48
81H	-901.441	31.9417	3333.69
81H	-963.098	23.2569	3483.41
81H	-946.542	25.6628	3443.03
81H	-808.972	44.9267	3109.23
284B	753.2	-597.891	3219.4
284B	797.978	-709.843	3643.64
284B	787.031	-682.632	3540.35
284B	748.415	-586.153	3174.91
284B	764.941	-627.411	3331.15
284B	743.818	-574.999	3132.15
284B	780.827	-666.702	3480.69
284B	781.433	-668.095	3486.06
218E	1233.11	303.657	3181.32
218E	1234.81	303.797	3188.01
218E	1272.5	307.869	3330.72
218E	1298.64	310.776	3429.83
218E	1333.64	314.339	3562.89
218E	1297.87	310.47	3427.13
218E	1302.08	311.042	3443.06
218E	1207.6	300.853	3084.65
139E	74.1384	-668.99	3669.48
139E	116.357	-562.22	3243.11
139E	120.218	-552.348	3203.61
139E	90.9624	-626.744	3500.72
139E	97.2415	-610.686	3436.56
139E	85.6752	-640.276	3555.25
139E	91.8447	-624.109	3490.44
139E	127.285	-534.531	3132.6
228F	1257.89	85.4711	3439.57
228F	1192.99	95.7099	3180.99
228F	1194.15	95.6359	3185.7
228F	1229.9	89.9857	3328.35
228F	1290.44	80.4536	3569.59
228F	1194.14	95.6417	3185.73
228F	1258.84	85.369	3443.63
228F	1256.11	85.8793	3432.51
228F	1171.02	99.2104	3093.08
21D	-911.453	768.014	3084.86
21D	-907.757	766.661	3076.98
21D	-1145.21	864.618	3603.84
21D	-992.644	801.7	3265.23
21D	-1014.57	810.646	3314.18
21D	-1077.76	836.881	3454.68
21D	-1062.52	830.62	3420.69
21D	-909.135	767.201	3080.26
33E	-611.535	685.805	3127.36
33E	-681.238	717.716	3330.52
